id,pedido_id,valor,metodo,status,data_pagamento
82214,86526,559.5613498600068,Cartão de Crédito,pago,2024-09-22
79463,68251,883.2451978947389,Boleto,pendente,2024-06-17
31531,97134,366.6100784360686,Cartão de Crédito,pago,2024-08-25
29990,14699,128.66391328863983,Pix,pago,2024-08-24
38050,80326,343.82304339224373,Pix,recusado,2024-08-02
15728,37018,150.514041215781,Pix,pendente,2024-09-19
2803,61534,212.87496796777776,Pix,pago,2024-09-16
29930,7992,898.859181877408,Boleto,pago,2024-06-17
30917,15381,293.0470060937636,Pix,pendente,2024-08-12
24326,12966,809.1261717403813,Cartão de Crédito,recusado,2024-04-09
89091,56456,507.9889281357651,Boleto,recusado,2024-10-04
91518,30003,306.55587031842873,Cartão de Crédito,recusado,2024-05-05
21641,32921,959.2702579729258,Boleto,recusado,2024-06-18
693,22359,977.9819164465573,Cartão de Crédito,pago,2024-09-28
83272,508,160.6823903482176,Boleto,pendente,2024-10-16
15583,21808,881.2812344917106,Cartão de Crédito,pago,2024-08-09
83278,46363,339.88576266725687,Cartão de Crédito,pago,2024-05-21
84579,20349,285.31152341659504,Boleto,pendente,2024-08-25
52205,92380,836.9476856596743,Boleto,pago,2024-04-16
41172,64773,920.1600434881797,Pix,pago,2024-07-27
87919,90112,974.6815248309002,Pix,pago,2024-06-03
41443,86565,956.0921742313689,Cartão de Crédito,pendente,2024-08-22
61068,31258,77.36897447266227,Cartão de Crédito,pendente,2024-05-24
69125,42574,187.23430511508684,Boleto,pendente,2024-10-07
91340,12415,343.42768443663255,Cartão de Crédito,recusado,2024-03-08
50574,2572,506.2279534651847,Pix,recusado,2024-05-30
41577,8490,263.46356880609363,Pix,recusado,2024-02-26
45846,19026,691.2976597282168,Boleto,recusado,2024-07-05
41717,50853,816.4310403804024,Cartão de Crédito,pago,2024-09-30
91489,80860,758.8742920601393,Pix,recusado,2024-06-13
66899,62785,106.42227962566206,Boleto,pago,2024-10-15
63369,88705,419.1972900919761,Pix,recusado,2024-06-12
41623,71919,825.9088382397082,Cartão de Crédito,recusado,2024-06-12
74841,55030,923.8053400709912,Boleto,pago,2024-06-22
23316,52427,350.8057747621391,Cartão de Crédito,pago,2024-05-27
93165,20024,679.39459980752,Cartão de Crédito,pendente,2024-10-08
30459,66335,29.658818511888885,Boleto,recusado,2024-03-21
61138,25325,806.0181666766305,Pix,pago,2024-10-06
62092,57812,513.2175868685822,Boleto,pago,2024-06-12
21384,59885,249.2796620534002,Pix,pendente,2024-08-17
9882,38981,565.250568587503,Cartão de Crédito,recusado,2024-07-28
62081,15946,414.6300594618566,Cartão de Crédito,pago,2024-09-14
23056,52209,797.5415756421737,Cartão de Crédito,recusado,2024-06-13
26945,3082,394.8061297897419,Pix,pendente,2024-04-16
963,16038,708.4753073175807,Pix,pendente,2024-09-07
19874,29872,628.4684952948651,Boleto,pago,2024-09-16
93282,40273,875.1352926762796,Cartão de Crédito,pendente,2024-10-12
996,83089,711.7518442736036,Cartão de Crédito,recusado,2024-10-15
42879,49989,896.2025899865749,Pix,pendente,2024-07-30
25254,8974,284.628855570884,Boleto,recusado,2024-10-08
